"";"Código.da.IES";"Categoria.Administrativa"
"1";1;"Pública Federal"
"3";2;"Pública Federal"
"4";3;"Pública Federal"
"6";5;"Pública Federal"
"8";8;"Pública Federal"
"9";9;"Pública Estadual"
"10";10;"Privada sem fins lucrativos"
"12";13;"Privada sem fins lucrativos"
"13";17;"Pública Federal"
"14";20;"Privada sem fins lucrativos"
"15";24;"Pública Estadual"
"16";27;"Privada sem fins lucrativos"
"17";29;"Pública Estadual"
"18";30;"Privada sem fins lucrativos"
"19";43;"Pública Estadual"
"20";56;"Pública Estadual"
"23";57;"Pública Estadual"
"24";76;"Pública Municipal"
"25";82;"Privada sem fins lucrativos"
"28";138;"Privada sem fins lucrativos"
"29";140;"Privada sem fins lucrativos"
"30";142;"Privada sem fins lucrativos"
"31";143;"Privada sem fins lucrativos"
"32";146;"Privada com fins lucrativos"
"33";150;"Privada sem fins lucrativos"
"34";163;"Privada com fins lucrativos"
"35";167;"Privada sem fins lucrativos"
"36";176;"Privada sem fins lucrativos"
"37";203;"Privada com fins lucrativos"
"38";207;"Privada sem fins lucrativos"
"39";221;"Privada com fins lucrativos"
"40";265;"Privada sem fins lucrativos"
"41";271;"Privada sem fins lucrativos"
"42";296;"Privada sem fins lucrativos"
"44";298;"Privada com fins lucrativos"
"46";308;"Privada sem fins lucrativos"
"47";319;"Privada sem fins lucrativos"
"49";322;"Privada com fins lucrativos"
"53";330;"Privada sem fins lucrativos"
"54";338;"Privada sem fins lucrativos"
"56";343;"Privada com fins lucrativos"
"57";349;"Privada com fins lucrativos"
"58";355;"Privada com fins lucrativos"
"59";374;"Privada sem fins lucrativos"
"60";375;"Privada sem fins lucrativos"
"61";383;"Privada com fins lucrativos"
"62";385;"Privada com fins lucrativos"
"63";387;"Privada sem fins lucrativos"
"64";404;"Privada sem fins lucrativos"
"65";420;"Privada com fins lucrativos"
"66";430;"Privada sem fins lucrativos"
"67";437;"Privada sem fins lucrativos"
"68";439;"Privada sem fins lucrativos"
"69";441;"Privada sem fins lucrativos"
"70";446;"Privada sem fins lucrativos"
"71";448;"Privada com fins lucrativos"
"72";449;"Privada sem fins lucrativos"
"73";450;"Privada com fins lucrativos"
"74";453;"Privada sem fins lucrativos"
"75";457;"Privada com fins lucrativos"
"77";466;"Privada com fins lucrativos"
"78";472;"Privada com fins lucrativos"
"79";480;"Privada sem fins lucrativos"
"80";481;"Privada sem fins lucrativos"
"81";490;"Privada sem fins lucrativos"
"82";494;"Privada sem fins lucrativos"
"83";495;"Pública Municipal"
"84";496;"Privada com fins lucrativos"
"85";502;"Privada com fins lucrativos"
"86";514;"Privada sem fins lucrativos"
"87";515;"Privada com fins lucrativos"
"88";532;"Privada sem fins lucrativos"
"89";549;"Pública Federal"
"90";568;"Pública Estadual"
"91";569;"Pública Federal"
"92";571;"Pública Federal"
"94";572;"Pública Federal"
"95";573;"Pública Federal"
"96";574;"Pública Federal"
"97";575;"Pública Federal"
"98";576;"Pública Federal"
"99";577;"Pública Federal"
"100";578;"Pública Federal"
"101";579;"Pública Federal"
"102";581;"Pública Federal"
"103";582;"Pública Federal"
"104";584;"Pública Federal"
"106";585;"Pública Federal"
"107";587;"Pública Federal"
"109";589;"Pública Federal"
"110";590;"Pública Federal"
"111";592;"Pública Federal"
"112";596;"Pública Federal"
"113";621;"Privada sem fins lucrativos"
"114";634;"Pública Federal"
"115";661;"Privada com fins lucrativos"
"116";664;"Privada sem fins lucrativos"
"117";669;"Privada sem fins lucrativos"
"118";671;"Privada com fins lucrativos"
"119";673;"Privada sem fins lucrativos"
"120";694;"Pública Federal"
"121";699;"Pública Federal"
"122";707;"Privada com fins lucrativos"
"123";718;"Privada com fins lucrativos"
"124";757;"Privada com fins lucrativos"
"125";763;"Privada com fins lucrativos"
"126";780;"Privada com fins lucrativos"
"127";789;"Pública Federal"
"128";826;"Privada com fins lucrativos"
"129";953;"Privada sem fins lucrativos"
"130";1027;"Pública Estadual"
"131";1038;"Privada sem fins lucrativos"
"132";1045;"Privada com fins lucrativos"
"133";1046;"Privada sem fins lucrativos"
"134";1053;"Privada com fins lucrativos"
"135";1078;"Privada com fins lucrativos"
"136";1087;"Privada sem fins lucrativos"
"137";1126;"Pública Estadual"
"138";1129;"Privada sem fins lucrativos"
"139";1157;"Privada sem fins lucrativos"
"140";1166;"Pública Federal"
"141";1196;"Privada com fins lucrativos"
"142";1230;"Privada sem fins lucrativos"
"143";1245;"Privada com fins lucrativos"
"144";1281;"Privada com fins lucrativos"
"145";1292;"Especial"
"146";1303;"Pública Federal"
"147";1307;"Privada com fins lucrativos"
"148";1317;"Privada com fins lucrativos"
"149";1336;"Privada sem fins lucrativos"
"150";1396;"Privada com fins lucrativos"
"151";1422;"Privada com fins lucrativos"
"152";1430;"Privada sem fins lucrativos"
"153";1436;"Privada com fins lucrativos"
"154";1490;"Privada com fins lucrativos"
"155";1559;"Privada sem fins lucrativos"
"156";1601;"Privada sem fins lucrativos"
"157";1623;"Privada sem fins lucrativos"
"158";1643;"Privada sem fins lucrativos"
"159";1657;"Privada com fins lucrativos"
"160";1773;"Privada com fins lucrativos"
"161";1812;"Pública Federal"
"162";1825;"Privada sem fins lucrativos"
"163";1836;"Privada sem fins lucrativos"
"164";1869;"Privada sem fins lucrativos"
"165";1883;"Privada com fins lucrativos"
"166";1917;"Privada com fins lucrativos"
"167";1927;"Privada com fins lucrativos"
"168";2111;"Privada sem fins lucrativos"
"169";2123;"Privada com fins lucrativos"
"170";2365;"Privada sem fins lucrativos"
"171";2564;"Pública Federal"
"172";2835;"Privada com fins lucrativos"
"173";2915;"Privada sem fins lucrativos"
"174";3151;"Privada sem fins lucrativos"
"175";3188;"Pública Federal"
"176";3193;"Privada com fins lucrativos"
"177";3205;"Privada com fins lucrativos"
"178";3339;"Privada com fins lucrativos"
"179";3371;"Privada sem fins lucrativos"
"180";3610;"Privada com fins lucrativos"
"181";3840;"Privada com fins lucrativos"
"182";3849;"Pública Federal"
"183";3974;"Pública Municipal"
"184";3983;"Privada sem fins lucrativos"
"185";3984;"Pública Federal"
"186";4163;"Privada sem fins lucrativos"
"187";4358;"Pública Federal"
"188";4367;"Privada com fins lucrativos"
"189";4396;"Pública Municipal"
"190";4503;"Pública Federal"
"191";4522;"Privada sem fins lucrativos"
"192";4702;"Privada com fins lucrativos"
"193";4780;"Privada sem fins lucrativos"
"194";4826;"Privada com fins lucrativos"
"195";4846;"Privada com fins lucrativos"
"196";5036;"Pública Federal"
"198";5303;"Privada com fins lucrativos"
"199";5322;"Pública Federal"
"200";5439;"Privada com fins lucrativos"
"201";5511;"Privada com fins lucrativos"
"202";5550;"Privada com fins lucrativos"
"203";5592;"Privada com fins lucrativos"
"204";5670;"Privada sem fins lucrativos"
"205";11544;"Privada com fins lucrativos"
"206";13883;"Privada sem fins lucrativos"
"207";14248;"Privada sem fins lucrativos"
"208";15015;"Pública Estadual"
"209";15121;"Pública Federal"
"210";15452;"Privada com fins lucrativos"
"211";15453;"Privada sem fins lucrativos"
"212";18065;"Privada com fins lucrativos"
"213";18506;"Pública Federal"
"214";19512;"Privada com fins lucrativos"
"215";23410;"Pública Estadual"
"219";4;"Pública Federal"
"225";19;"Privada sem fins lucrativos"
"227";21;"Privada sem fins lucrativos"
"232";54;"Pública Estadual"
"237";71;"Pública Estadual"
"239";79;"Pública Municipal"
"240";81;"Privada sem fins lucrativos"
"242";83;"Privada sem fins lucrativos"
"243";124;"Privada sem fins lucrativos"
"244";137;"Privada sem fins lucrativos"
"250";165;"Privada com fins lucrativos"
"252";208;"Privada sem fins lucrativos"
"255";266;"Privada sem fins lucrativos"
"257";275;"Privada sem fins lucrativos"
"258";295;"Privada sem fins lucrativos"
"260";316;"Privada sem fins lucrativos"
"273";352;"Privada com fins lucrativos"
"275";367;"Pública Estadual"
"278";384;"Privada sem fins lucrativos"
"279";396;"Privada com fins lucrativos"
"280";398;"Privada com fins lucrativos"
"281";403;"Privada sem fins lucrativos"
"282";409;"Pública Estadual"
"284";417;"Privada com fins lucrativos"
"286";423;"Privada sem fins lucrativos"
"287";426;"Privada sem fins lucrativos"
"296";458;"Privada sem fins lucrativos"
"301";482;"Privada sem fins lucrativos"
"302";489;"Privada sem fins lucrativos"
"307";513;"Privada sem fins lucrativos"
"308";518;"Privada com fins lucrativos"
"309";521;"Privada com fins lucrativos"
"310";526;"Privada com fins lucrativos"
"311";534;"Privada sem fins lucrativos"
"312";547;"Pública Estadual"
"313";548;"Pública Federal"
"314";550;"Pública Estadual"
"316";555;"Privada sem fins lucrativos"
"318";570;"Pública Federal"
"329";580;"Pública Federal"
"332";583;"Pública Federal"
"336";586;"Pública Federal"
"337";595;"Pública Federal"
"339";609;"Pública Estadual"
"342";649;"Pública Municipal"
"343";663;"Privada sem fins lucrativos"
"345";665;"Pública Municipal"
"346";666;"Pública Estadual"
"348";670;"Privada sem fins lucrativos"
"351";688;"Pública Estadual"
"353";705;"Privada sem fins lucrativos"
"355";730;"Pública Estadual"
"356";750;"Pública Municipal"
"357";756;"Pública Estadual"
"359";792;"Privada sem fins lucrativos"
"360";794;"Privada sem fins lucrativos"
"361";823;"Privada sem fins lucrativos"
"362";878;"Privada sem fins lucrativos"
"363";952;"Privada sem fins lucrativos"
"365";1041;"Privada sem fins lucrativos"
"366";1042;"Privada com fins lucrativos"
"367";1043;"Privada sem fins lucrativos"
"368";1075;"Privada com fins lucrativos"
"369";1080;"Privada sem fins lucrativos"
"371";1113;"Privada sem fins lucrativos"
"373";1128;"Privada sem fins lucrativos"
"375";1139;"Privada sem fins lucrativos"
"377";1189;"Privada sem fins lucrativos"
"381";1356;"Pública Municipal"
"382";1379;"Privada sem fins lucrativos"
"383";1414;"Privada com fins lucrativos"
"385";1427;"Privada com fins lucrativos"
"387";1461;"Privada com fins lucrativos"
"388";1563;"Privada com fins lucrativos"
"389";1592;"Privada sem fins lucrativos"
"390";1600;"Privada sem fins lucrativos"
"391";1638;"Privada com fins lucrativos"
"392";1640;"Privada com fins lucrativos"
"393";1697;"Privada sem fins lucrativos"
"394";1709;"Privada com fins lucrativos"
"395";1717;"Privada com fins lucrativos"
"396";1734;"Privada com fins lucrativos"
"397";1735;"Privada com fins lucrativos"
"398";1758;"Privada com fins lucrativos"
"399";1767;"Privada com fins lucrativos"
"401";1885;"Privada com fins lucrativos"
"402";1895;"Privada com fins lucrativos"
"404";1965;"Privada sem fins lucrativos"
"405";1978;"Privada com fins lucrativos"
"406";1986;"Privada com fins lucrativos"
"407";1988;"Privada com fins lucrativos"
"408";2076;"Privada com fins lucrativos"
"409";2132;"Privada com fins lucrativos"
"410";2135;"Privada sem fins lucrativos"
"411";2368;"Privada com fins lucrativos"
"412";2383;"Privada com fins lucrativos"
"413";2409;"Privada sem fins lucrativos"
"414";2469;"Privada com fins lucrativos"
"415";2474;"Privada com fins lucrativos"
"416";2494;"Privada sem fins lucrativos"
"418";2745;"Privada com fins lucrativos"
"419";2771;"Privada com fins lucrativos"
"420";2773;"Privada com fins lucrativos"
"422";2843;"Privada com fins lucrativos"
"424";3034;"Privada com fins lucrativos"
"425";3146;"Privada sem fins lucrativos"
"427";3172;"Pública Estadual"
"429";3304;"Privada com fins lucrativos"
"431";3372;"Privada sem fins lucrativos"
"432";3641;"Privada sem fins lucrativos"
"433";3797;"Privada com fins lucrativos"
"434";3817;"Privada sem fins lucrativos"
"436";3869;"Privada com fins lucrativos"
"438";4030;"Privada sem fins lucrativos"
"439";4198;"Privada com fins lucrativos"
"440";4530;"Privada com fins lucrativos"
"441";4534;"Privada com fins lucrativos"
"442";4849;"Privada com fins lucrativos"
"443";4901;"Privada com fins lucrativos"
"445";5520;"Privada com fins lucrativos"
"446";5544;"Privada com fins lucrativos"
"448";11429;"Privada com fins lucrativos"
"449";11860;"Privada com fins lucrativos"
"450";12620;"Privada com fins lucrativos"
"451";12847;"Privada com fins lucrativos"
"452";14947;"Privada com fins lucrativos"
"463";6;"Pública Federal"
"464";7;"Pública Federal"
"469";11;"Privada sem fins lucrativos"
"470";12;"Pública Federal"
"473";18;"Privada sem fins lucrativos"
"481";32;"Pública Estadual"
"482";40;"Pública Estadual"
"491";93;"Pública Municipal"
"492";107;"Pública Federal"
"498";149;"Pública Estadual"
"501";190;"Privada sem fins lucrativos"
"503";222;"Privada sem fins lucrativos"
"504";224;"Privada sem fins lucrativos"
"505";226;"Privada sem fins lucrativos"
"507";284;"Privada sem fins lucrativos"
"509";307;"Privada sem fins lucrativos"
"517";351;"Privada sem fins lucrativos"
"519";353;"Privada sem fins lucrativos"
"525";402;"Privada sem fins lucrativos"
"530";415;"Privada sem fins lucrativos"
"533";431;"Pública Estadual"
"534";434;"Privada sem fins lucrativos"
"539";475;"Privada sem fins lucrativos"
"547";501;"Privada sem fins lucrativos"
"548";506;"Privada sem fins lucrativos"
"550";527;"Privada sem fins lucrativos"
"552";546;"Privada sem fins lucrativos"
"583";591;"Pública Federal"
"587";597;"Pública Federal"
"588";605;"Pública Municipal"
"601";693;"Pública Federal"
"605";717;"Pública Federal"
"607";719;"Pública Estadual"
"609";737;"Privada sem fins lucrativos"
"617";830;"Pública Federal"
"626";1244;"Privada com fins lucrativos"
"627";1270;"Privada com fins lucrativos"
"628";1334;"Privada com fins lucrativos"
"630";1362;"Privada com fins lucrativos"
"634";1547;"Privada com fins lucrativos"
"637";1586;"Privada sem fins lucrativos"
"639";1664;"Privada com fins lucrativos"
"640";1669;"Privada com fins lucrativos"
"644";1913;"Privada com fins lucrativos"
"646";1984;"Privada com fins lucrativos"
"647";1995;"Privada com fins lucrativos"
"648";2082;"Privada com fins lucrativos"
"650";2158;"Privada com fins lucrativos"
"654";2579;"Privada com fins lucrativos"
"655";2787;"Privada sem fins lucrativos"
"660";3194;"Privada com fins lucrativos"
"661";3223;"Pública Estadual"
"664";3533;"Privada com fins lucrativos"
"665";3615;"Privada sem fins lucrativos"
"667";3966;"Privada sem fins lucrativos"
"672";4256;"Privada com fins lucrativos"
"673";4450;"Privada sem fins lucrativos"
"674";4504;"Pública Federal"
"677";5215;"Privada sem fins lucrativos"
"680";14892;"Privada com fins lucrativos"
"681";15001;"Pública Federal"
"684";18759;"Pública Federal"
"718";47;"Pública Estadual"
"727";68;"Pública Municipal"
"734";125;"Privada sem fins lucrativos"
"743";294;"Privada sem fins lucrativos"
"753";386;"Privada com fins lucrativos"
"766";451;"Privada sem fins lucrativos"
"798";588;"Pública Federal"
"809";600;"Pública Federal"
"810";601;"Pública Federal"
"814";648;"Privada sem fins lucrativos"
"818";682;"Privada com fins lucrativos"
"822";704;"Especial"
"836";781;"Privada com fins lucrativos"
"839";796;"Privada com fins lucrativos"
"840";824;"Pública Municipal"
"841";829;"Pública Estadual"
"842";882;"Pública Municipal"
"843";1019;"Privada sem fins lucrativos"
"845";1028;"Pública Estadual"
"847";1036;"Pública Estadual"
"854";1092;"Privada com fins lucrativos"
"857";1190;"Privada sem fins lucrativos"
"859";1221;"Privada sem fins lucrativos"
"860";1227;"Privada sem fins lucrativos"
"864";1300;"Privada sem fins lucrativos"
"872";1322;"Privada sem fins lucrativos"
"874";1337;"Privada com fins lucrativos"
"877";1426;"Privada sem fins lucrativos"
"879";1450;"Privada sem fins lucrativos"
"880";1459;"Privada sem fins lucrativos"
"881";1574;"Privada com fins lucrativos"
"882";1575;"Privada sem fins lucrativos"
"886";1807;"Pública Federal"
"887";1808;"Pública Federal"
"889";1809;"Pública Federal"
"890";1813;"Pública Federal"
"894";1844;"Privada sem fins lucrativos"
"896";2336;"Privada com fins lucrativos"
"898";2536;"Privada com fins lucrativos"
"900";2774;"Privada sem fins lucrativos"
"901";2791;"Privada com fins lucrativos"
"902";2903;"Privada com fins lucrativos"
"904";3161;"Pública Federal"
"905";3164;"Pública Federal"
"909";3165;"Pública Federal"
"914";3189;"Pública Federal"
"917";3252;"Privada com fins lucrativos"
"918";3279;"Pública Federal"
"920";3336;"Pública Estadual"
"924";3363;"Privada com fins lucrativos"
"925";3368;"Privada sem fins lucrativos"
"929";3669;"Privada com fins lucrativos"
"930";3789;"Privada sem fins lucrativos"
"932";3921;"Privada com fins lucrativos"
"933";3940;"Privada sem fins lucrativos"
"934";3972;"Privada sem fins lucrativos"
"938";4098;"Pública Federal"
"947";4567;"Privada sem fins lucrativos"
"948";4633;"Privada com fins lucrativos"
"949";4785;"Pública Federal"
"950";4786;"Pública Federal"
"956";5045;"Privada sem fins lucrativos"
"957";5077;"Pública Estadual"
"963";13359;"Privada com fins lucrativos"
"964";14156;"Privada com fins lucrativos"
"966";14509;"Pública Federal"
"968";14724;"Pública Federal"
"969";14975;"Privada com fins lucrativos"
"971";15032;"Privada sem fins lucrativos"
"972";15059;"Pública Federal"
"978";15497;"Pública Federal"
"979";15520;"Pública Federal"
"981";18440;"Pública Federal"
"999";14;"Privada sem fins lucrativos"
"1004";22;"Privada sem fins lucrativos"
"1005";23;"Privada sem fins lucrativos"
"1036";227;"Privada sem fins lucrativos"
"1037";234;"Privada com fins lucrativos"
"1041";277;"Privada sem fins lucrativos"
"1082";344;"Privada com fins lucrativos"
"1086";376;"Privada com fins lucrativos"
"1133";522;"Privada sem fins lucrativos"
"1185";727;"Privada sem fins lucrativos"
"1187";734;"Privada sem fins lucrativos"
"1188";736;"Privada com fins lucrativos"
"1190";738;"Privada sem fins lucrativos"
"1191";739;"Privada sem fins lucrativos"
"1200";862;"Privada com fins lucrativos"
"1206";1055;"Privada sem fins lucrativos"
"1208";1058;"Privada com fins lucrativos"
"1209";1077;"Privada com fins lucrativos"
"1216";1131;"Privada com fins lucrativos"
"1217";1149;"Privada com fins lucrativos"
"1218";1173;"Privada com fins lucrativos"
"1219";1191;"Privada sem fins lucrativos"
"1221";1202;"Privada com fins lucrativos"
"1224";1255;"Privada com fins lucrativos"
"1225";1263;"Privada com fins lucrativos"
"1226";1273;"Privada com fins lucrativos"
"1227";1276;"Privada com fins lucrativos"
"1230";1299;"Privada sem fins lucrativos"
"1231";1310;"Privada sem fins lucrativos"
"1234";1350;"Privada com fins lucrativos"
"1238";1446;"Privada com fins lucrativos"
"1240";1462;"Privada com fins lucrativos"
"1242";1492;"Privada com fins lucrativos"
"1243";1494;"Privada sem fins lucrativos"
"1244";1498;"Privada com fins lucrativos"
"1245";1504;"Privada sem fins lucrativos"
"1246";1510;"Privada com fins lucrativos"
"1247";1540;"Privada sem fins lucrativos"
"1249";1552;"Privada com fins lucrativos"
"1250";1554;"Privada com fins lucrativos"
"1252";1573;"Privada sem fins lucrativos"
"1253";1580;"Privada com fins lucrativos"
"1255";1624;"Privada sem fins lucrativos"
"1257";1642;"Privada com fins lucrativos"
"1258";1647;"Privada com fins lucrativos"
"1259";1656;"Privada sem fins lucrativos"
"1261";1672;"Privada sem fins lucrativos"
"1262";1716;"Privada sem fins lucrativos"
"1265";1753;"Privada com fins lucrativos"
"1268";1775;"Privada com fins lucrativos"
"1269";1815;"Privada com fins lucrativos"
"1270";1818;"Privada com fins lucrativos"
"1273";1910;"Privada com fins lucrativos"
"1277";1939;"Privada com fins lucrativos"
"1279";1996;"Privada com fins lucrativos"
"1280";2005;"Privada com fins lucrativos"
"1281";2009;"Privada com fins lucrativos"
"1282";2023;"Privada com fins lucrativos"
"1283";2040;"Privada com fins lucrativos"
"1284";2086;"Privada com fins lucrativos"
"1288";2147;"Privada com fins lucrativos"
"1289";2148;"Privada com fins lucrativos"
"1291";2241;"Privada com fins lucrativos"
"1292";2271;"Privada com fins lucrativos"
"1293";2275;"Privada com fins lucrativos"
"1296";2413;"Privada com fins lucrativos"
"1297";2420;"Privada com fins lucrativos"
"1298";2426;"Privada com fins lucrativos"
"1299";2428;"Privada com fins lucrativos"
"1300";2437;"Privada com fins lucrativos"
"1304";2501;"Privada com fins lucrativos"
"1305";2560;"Privada com fins lucrativos"
"1307";2565;"Privada sem fins lucrativos"
"1308";2576;"Privada com fins lucrativos"
"1310";2593;"Privada com fins lucrativos"
"1311";2613;"Privada com fins lucrativos"
"1312";2636;"Privada com fins lucrativos"
"1314";2754;"Privada com fins lucrativos"
"1315";2770;"Privada com fins lucrativos"
"1319";2908;"Privada com fins lucrativos"
"1321";2944;"Privada com fins lucrativos"
"1322";2961;"Privada com fins lucrativos"
"1323";2973;"Privada com fins lucrativos"
"1325";3042;"Privada com fins lucrativos"
"1326";3149;"Privada com fins lucrativos"
"1328";3163;"Pública Federal"
"1332";3204;"Privada com fins lucrativos"
"1334";3337;"Privada com fins lucrativos"
"1336";3393;"Privada com fins lucrativos"
"1337";3396;"Privada com fins lucrativos"
"1338";3434;"Privada com fins lucrativos"
"1339";3515;"Privada sem fins lucrativos"
"1340";3518;"Privada com fins lucrativos"
"1341";3588;"Privada com fins lucrativos"
"1342";3602;"Privada com fins lucrativos"
"1343";3603;"Privada com fins lucrativos"
"1346";3716;"Privada com fins lucrativos"
"1347";3741;"Privada com fins lucrativos"
"1348";3756;"Privada com fins lucrativos"
"1349";3757;"Privada com fins lucrativos"
"1350";3778;"Privada com fins lucrativos"
"1351";3786;"Privada com fins lucrativos"
"1356";3879;"Privada com fins lucrativos"
"1357";3881;"Privada com fins lucrativos"
"1362";3987;"Privada com fins lucrativos"
"1363";4010;"Privada sem fins lucrativos"
"1364";4017;"Privada com fins lucrativos"
"1365";4113;"Privada com fins lucrativos"
"1366";4118;"Privada com fins lucrativos"
"1367";4141;"Privada com fins lucrativos"
"1369";4169;"Privada com fins lucrativos"
"1370";4197;"Privada com fins lucrativos"
"1372";4277;"Privada com fins lucrativos"
"1373";4362;"Privada com fins lucrativos"
"1374";4411;"Privada sem fins lucrativos"
"1375";4431;"Privada com fins lucrativos"
"1377";4533;"Privada com fins lucrativos"
"1378";4586;"Privada com fins lucrativos"
"1379";4613;"Privada com fins lucrativos"
"1380";4631;"Privada com fins lucrativos"
"1383";4863;"Privada com fins lucrativos"
"1384";4865;"Privada com fins lucrativos"
"1386";4915;"Privada com fins lucrativos"
"1387";5013;"Pública Estadual"
"1394";5671;"Privada sem fins lucrativos"
"1396";11645;"Privada sem fins lucrativos"
"1398";13792;"Privada com fins lucrativos"
"1399";14029;"Privada com fins lucrativos"
"1402";14313;"Privada com fins lucrativos"
"1403";14321;"Privada com fins lucrativos"
"1404";14715;"Privada sem fins lucrativos"
"1406";14901;"Privada com fins lucrativos"
"1409";15357;"Privada sem fins lucrativos"
"1410";15450;"Privada com fins lucrativos"
"1412";15777;"Privada com fins lucrativos"
"1413";17284;"Privada sem fins lucrativos"
"1430";15;"Privada sem fins lucrativos"
"1445";80;"Privada sem fins lucrativos"
"1453";87;"Privada sem fins lucrativos"
"1463";162;"Privada sem fins lucrativos"
"1472";216;"Privada sem fins lucrativos"
"1477";240;"Privada sem fins lucrativos"
"1480";269;"Privada com fins lucrativos"
"1511";337;"Privada sem fins lucrativos"
"1536";410;"Privada sem fins lucrativos"
"1562";452;"Privada sem fins lucrativos"
"1568";461;"Privada sem fins lucrativos"
"1581";519;"Privada sem fins lucrativos"
"1585";528;"Privada sem fins lucrativos"
"1613";622;"Privada sem fins lucrativos"
"1615";641;"Privada sem fins lucrativos"
"1629";724;"Privada sem fins lucrativos"
"1636";798;"Privada sem fins lucrativos"
"1639";861;"Privada com fins lucrativos"
"1642";916;"Privada com fins lucrativos"
"1649";1060;"Privada com fins lucrativos"
"1652";1107;"Privada com fins lucrativos"
"1656";1120;"Pública Federal"
"1659";1141;"Privada sem fins lucrativos"
"1661";1185;"Privada com fins lucrativos"
"1662";1187;"Privada com fins lucrativos"
"1668";1294;"Privada com fins lucrativos"
"1669";1319;"Privada com fins lucrativos"
"1674";1351;"Privada sem fins lucrativos"
"1675";1359;"Privada com fins lucrativos"
"1676";1365;"Privada sem fins lucrativos"
"1678";1381;"Privada com fins lucrativos"
"1681";1418;"Privada com fins lucrativos"
"1682";1419;"Privada com fins lucrativos"
"1684";1423;"Privada com fins lucrativos"
"1686";1428;"Privada com fins lucrativos"
"1688";1437;"Privada com fins lucrativos"
"1689";1444;"Privada sem fins lucrativos"
"1692";1452;"Privada com fins lucrativos"
"1695";1493;"Privada com fins lucrativos"
"1698";1508;"Privada com fins lucrativos"
"1700";1513;"Privada com fins lucrativos"
